,core_name,latitude,longitude,elevation,year,depth_to_550,depth_to_830,source,citation,region,FDM_point_index,FDM_latitude,FDM_longitude,FDM_rlat,FDM_rlon,FDM_depth_to_550,FDM_depth_to_830,Fit_R2,Fit_model,Fit_failed
33,L2 (12.18),65.388,-46.327,2184.0,1981,10.286,12.811,SUMUP 2024,van der Veen et al. (2001),Greenland,5999,65.3776,-46.3553,161,127,5.32,35.4,0.976,Logarithmic,0.0
34,L5 (15.12),65.388,-46.327,1967.0,1981,6.941,6.048,SUMUP 2024,van der Veen et al. (2001),Greenland,5999,65.3776,-46.3553,161,127,5.32,35.4,0.976,Logarithmic,0.0
35,U3 (2003),64.933,-44.403,2574.0,1981,5.558,,SUMUP 2024,van der Veen et al. (2001),Greenland,5107,64.9303,-44.4255,150,142,6.7,39.92,0.981,Logarithmic,0.0
36,U4 (2004),64.982,-45.973,2489.0,1981,9.424,11.55,SUMUP 2024,van der Veen et al. (2001),Greenland,5327,64.9962,-45.9835,153,129,5.85,37.46,0.979,Logarithmic,0.0
37,U6 (2006),65.293,-44.166,2472.0,1981,9.732,12.08,SUMUP 2024,van der Veen et al. (2001),Greenland,5679,65.2949,-44.1681,157,145,6.21,39.01,0.98,Logarithmic,0.0
38,U7 (2007),65.247,-44.591,2535.0,1981,10.212,13.93,SUMUP 2024,van der Veen et al. (2001),Greenland,5590,65.2224,-44.6259,156,141,6.43,39.34,0.981,Logarithmic,0.0
39,Dye3-11B-1984,65.183,-43.833,2479.0,1983,11.825,,SUMUP 2024,"Clausen H.B., pers. comm. as in Spencer et al. (2001)",Greenland,5513,65.2116,-43.7884,155,148,6.77,38.75,0.983,Logarithmic,0.0
40,Dye3-15B-1984,65.183,-43.833,2479.0,1983,13.082,,SUMUP 2024,"Clausen H.B., pers. comm. as in Spencer et al. (2001)",Greenland,5513,65.2116,-43.7884,155,148,6.77,38.75,0.983,Logarithmic,0.0
41,Dye3-16C-1984,65.183,-43.833,2479.0,1983,15.361,,SUMUP 2024,"Clausen H.B., pers. comm. as in Spencer et al. (2001)",Greenland,5513,65.2116,-43.7884,155,148,6.77,38.75,0.983,Logarithmic,0.0
42,Dye3-4B-1983,65.183,-43.833,2479.0,1983,11.062,75.628,SUMUP 2024,"Clausen H.B., pers. comm. as in Spencer et al. (2001)",Greenland,5513,65.2116,-43.7884,155,148,6.77,38.75,0.983,Logarithmic,0.0
43,Dye3-5B-1984,65.183,-43.833,2479.0,1983,11.159,,SUMUP 2024,"Clausen H.B., pers. comm. as in Spencer et al. (2001)",Greenland,5513,65.2116,-43.7884,155,148,6.77,38.75,0.983,Logarithmic,0.0
44,Dye3-9B-1984,65.183,-43.833,2479.0,1983,10.175,,SUMUP 2024,"Clausen H.B., pers. comm. as in Spencer et al. (2001)",Greenland,5513,65.2116,-43.7884,155,148,6.77,38.75,0.983,Logarithmic,0.0
45,Dye3-station1-1983,65.183,-43.833,2479.0,1983,12.365,,SUMUP 2024,"Clausen H.B., pers. comm. as in Spencer et al. (2001)",Greenland,5513,65.2116,-43.7884,155,148,6.77,38.75,0.983,Logarithmic,0.0
46,,65.1,-44.87,2625.0,1984,6.383,56.705,SUMUP 2024,Mayewski et al. (2016d),Greenland,5419,65.1112,-44.832,154,139,7.07,39.83,0.982,Logarithmic,0.0
47,Site 13,72.886,-38.843,3209.0,1987,13.8,,SUMUP 2024,van der Veen et al. (2001),Greenland,27447,72.8955,-38.86,306,193,10.6,53.9,0.989,Logarithmic,0.0
48,Site 15,72.981,-36.296,3229.0,1987,14.158,,SUMUP 2024,van der Veen et al. (2001),Greenland,27779,72.9965,-36.3032,308,208,11.0,55.05,0.989,Logarithmic,0.0
49,Site 31,72.349,-39.786,3151.0,1987,14.779,,SUMUP 2024,van der Veen et al. (2001),Greenland,25604,72.3366,-39.8075,295,187,10.27,52.71,0.989,Logarithmic,0.0
50,Site 37,72.641,-34.055,3217.0,1987,12.987,,SUMUP 2024,van der Veen et al. (2001),Greenland,26476,72.5694,-33.9929,300,222,10.85,54.12,0.988,Logarithmic,0.0
51,Site 51,71.927,-38.165,3150.0,1987,13.853,,SUMUP 2024,van der Veen et al. (2001),Greenland,24378,71.9489,-38.1455,287,197,10.53,53.43,0.989,Logarithmic,0.0
52,Site 57,71.921,-34.04,3149.0,1987,7.579,,SUMUP 2024,van der Veen et al. (2001),Greenland,24553,71.9704,-34.1057,288,222,10.62,53.22,0.987,Logarithmic,0.0
53,Site 571,72.212,-34.332,3149.0,1987,12.878,,SUMUP 2024,van der Veen et al. (2001),Greenland,25325,72.2254,-34.3867,293,220,10.8,53.87,0.988,Logarithmic,0.0
54,Site 73,71.602,-37.864,3218.0,1987,14.875,,SUMUP 2024,van der Veen et al. (2001),Greenland,23323,71.5997,-37.8168,280,199,10.44,53.0,0.989,Logarithmic,0.0
55,Site A,70.75,-35.958,3145.0,1987,14.5,81.167,SUMUP 2024, Alley (1987) as in Spencer et al. (2001),Greenland,20727,70.7437,-35.9841,263,211,10.16,51.77,0.987,Logarithmic,0.0
56,Summit,72.294,-36.078,3263.0,1987,15.449,,SUMUP 2024,van der Veen et al. (2001),Greenland,25315,72.2445,-36.0242,293,210,10.9,54.34,0.988,Logarithmic,0.0
57,,77.981,-37.704,3188.0,1987,14.158,,SUMUP 2024,"Bolzan and Strobel (1999a,b,c,d,e,f,g,h,i,j,k,l,m,n,o)",Greenland,44822,77.9499,-37.7382,407,200,10.21,54.39,0.99,Logarithmic,0.0
58,,72.212,-35.667,3087.0,1987,12.878,,SUMUP 2024,"Bolzan and Strobel (2001a,b)",Greenland,25317,72.2418,-35.6965,293,212,10.94,54.5,0.988,Logarithmic,0.0
59,,72.294,-37.921,3215.0,1987,8.028,,SUMUP 2024,"Bolzan and Strobel (2001a,b)",Greenland,25303,72.2494,-37.992,293,198,10.71,54.06,0.989,Logarithmic,0.0
60,,71.602,-38.141,3168.0,1987,14.875,,SUMUP 2024,"Bolzan and Strobel (1999a,b,c,d,e,f,g,h,i,j,k,l,m,n,o)",Greenland,23321,71.5989,-38.1336,280,197,10.33,52.72,0.989,Logarithmic,0.0
61,,71.921,-35.959,3090.0,1987,7.579,,SUMUP 2024,"Bolzan and Strobel (1999a,b,c,d,e,f,g,h,i,j,k,l,m,n,o)",Greenland,24248,71.8933,-35.891,286,211,10.83,53.89,0.988,Logarithmic,0.0
62,,72.641,-35.944,3160.0,1987,12.987,,SUMUP 2024,"Bolzan and Strobel (1999a,b,c,d,e,f,g,h,i,j,k,l,m,n,o)",Greenland,26633,72.6444,-35.9914,301,210,11.07,55.09,0.988,Logarithmic,0.0
63,,72.349,-40.214,3115.0,1987,14.779,,SUMUP 2024,"Bolzan and Strobel (1999a,b,c,d,e,f,g,h,i,j,k,l,m,n,o)",Greenland,25764,72.3824,-40.144,296,185,10.25,52.53,0.989,Logarithmic,0.0
64,,72.886,-39.157,3167.0,1987,13.8,,SUMUP 2024,"Bolzan and Strobel (1999a,b,c,d,e,f,g,h,i,j,k,l,m,n,o)",Greenland,27445,72.8929,-39.1998,306,191,10.56,53.73,0.989,Logarithmic,0.0
65,,71.927,-39.835,3112.0,1987,13.853,,SUMUP 2024,"Bolzan and Strobel (1999a,b,c,d,e,f,g,h,i,j,k,l,m,n,o)",Greenland,24518,71.9868,-39.7642,288,187,10.18,52.34,0.988,Logarithmic,0.0
66,"Site A, (Crete)",70.635,-35.82,3092.0,1988,14.758,75.955,SUMUP 2024,Clausen et al. (1988) as in Spencer et al. (2001),Greenland,20403,70.6424,-35.8409,261,212,9.97,51.3,0.988,Logarithmic,0.0
67,Site B,70.659,-35.479,3138.0,1988,16.965,77.726,SUMUP 2024,Clausen et al. (1988) as in Spencer et al. (2001),Greenland,20577,70.6894,-35.5346,262,214,9.99,51.33,0.987,Logarithmic,0.0
68,Site C,70.677,-35.787,3072.0,1988,15.675,,SUMUP 2024,Clausen et al. (1988) as in Spencer et al. (2001),Greenland,20575,70.6924,-35.8368,262,212,10.02,51.53,0.987,Logarithmic,0.0
69,Site D,70.64,-35.618,3018.0,1988,14.025,75.618,SUMUP 2024,Clausen et al. (1988) as in Spencer et al. (2001),Greenland,20576,70.691,-35.6857,262,213,10.02,51.49,0.987,Logarithmic,0.0
70,Site E,71.759,-35.851,3087.0,1988,16.225,68.697,SUMUP 2024,Clausen et al. (1988) as in Spencer et al. (2001),Greenland,23953,71.7934,-35.8995,284,211,10.75,53.73,0.988,Logarithmic,0.0
71,Site F,71.492,-35.881,3092.0,1988,16.225,,SUMUP 2024,Clausen et al. (1988) as in Spencer et al. (2001),Greenland,23016,71.4935,-35.9246,278,211,10.6,53.38,0.987,Logarithmic,0.0
72,Site G,71.155,-35.838,3098.0,1988,15.125,,SUMUP 2024,Clausen et al. (1988) as in Spencer et al. (2001),Greenland,21949,71.1422,-35.7983,271,212,10.44,52.71,0.987,Logarithmic,0.0
73,Site H,70.865,-35.838,3102.0,1988,15.125,,SUMUP 2024,Clausen et al. (1988) as in Spencer et al. (2001),Greenland,21024,70.8423,-35.8242,265,212,10.2,51.94,0.988,Logarithmic,0.0
74,Site J,66.87,-46.26,2030.0,1989,8.062,52.603,SUMUP 2024,Kameda et al. (1995),Greenland,9377,66.8484,-46.2718,190,132,4.53,33.13,0.951,Logarithmic,0.0
75,Summit_EUROCORE,72.58,-37.64,,1989,17.663,73.887,SUMUP 2024,"Fourteau (2019a,b,c)",Greenland,26454,72.5999,-37.6672,300,200,10.81,54.56,0.989,Logarithmic,0.0
76,,72.58,-38.459,3216.0,1989,0.841,,SUMUP 2024,Mayewski and Whitlow (2016),Greenland,26279,72.5475,-38.5003,299,195,10.64,54.03,0.99,Logarithmic,0.0
77,,72.58,-38.459,3216.0,1989,0.109,,SUMUP 2024,Mayewski and Whitlow (2016),Greenland,26279,72.5475,-38.5003,299,195,10.64,54.03,0.99,Logarithmic,0.0
78,,72.58,-38.459,3216.0,1989,0.208,,SUMUP 2024,Mayewski and Whitlow (2016),Greenland,26279,72.5475,-38.5003,299,195,10.64,54.03,0.99,Logarithmic,0.0
79,,72.58,-38.459,3216.0,1989,1.312,,SUMUP 2024,Mayewski and Whitlow (2016),Greenland,26279,72.5475,-38.5003,299,195,10.64,54.03,0.99,Logarithmic,0.0
80,GRIP,72.567,-37.617,3230.0,1990,16.435,80.73,SUMUP 2024," Johnsen, S. pers. comm. as in Spencer et al. (2001)",Greenland,26284,72.5499,-37.6667,299,200,10.85,54.61,0.989,Logarithmic,0.0
81,,72.58,-38.459,3216.0,1990,3.45,,SUMUP 2024,Mayewski and Whitlow (2016),Greenland,26279,72.5475,-38.5003,299,195,10.72,54.16,0.989,Logarithmic,0.0
82,,72.596,-38.422,3200.0,1990,3.419,,SUMUP 2024,Dibb et al. (2017),Greenland,26279,72.5475,-38.5003,299,195,10.72,54.16,0.989,Logarithmic,0.0
83,BPRC_1993,65.293,-45.834,,1993,7.817,4.706,SUMUP 2024,BPRC 1993 in Jezek (2012),Greenland,5835,65.3071,-45.8494,159,131,6.33,38.16,0.979,Logarithmic,0.0
84,ngt03C93.2_B16,73.94,-37.63,3040.0,1993,13.012,59.827,SUMUP 2024,"Wilhelms et al. (2000a,b,c,d)",Greenland,30599,73.8999,-37.6802,326,200,10.82,54.34,0.989,Logarithmic,0.0
85,ngt06C93.2_B17,75.25,-37.625,2820.0,1993,14.21,59.285,SUMUP 2024,"Wilhelms et al. (2000a,b,c,d)",Greenland,35013,75.1999,-37.6954,352,200,11.03,55.62,0.99,Logarithmic,0.0
86,ngt14C93.2_B18,76.617,-36.403,2508.0,1993,13.934,57.952,SUMUP 2024,"Wilhelms et al. (2000a,b,c,d)",Greenland,39956,76.5978,-36.4248,380,206,10.56,54.47,0.99,Logarithmic,0.0
87,ngt19C.0_B19,78.0,-36.23,2234.0,1994,17.107,63.926,SUMUP 2024,NGT: Wilhelms (1996),Greenland,45245,78.0475,-36.2995,409,206,10.15,53.76,0.989,Logarithmic,0.0
88,ngt27C94.2_B21,80.0,-41.137,2185.0,1994,15.316,58.327,SUMUP 2024,"Wilhelms et al. (2000a,b,c,d)",Greenland,52817,79.98,-41.202,448,188,10.21,53.24,0.989,Logarithmic,0.0
89,Humboldt-E,78.598,-55.699,2045.0,1995,14.125,,SUMUP 2024,Mosley-Thompson et al. (2001),Greenland,49617,78.6597,-55.7047,432,130,9.52,50.42,0.983,Logarithmic,0.0
90,Humboldt-M,78.527,-56.83,1995.0,1995,16.593,63.973,SUMUP 2024,Mosley-Thompson et al. (2001),Greenland,49426,78.5357,-56.8203,431,125,9.2,49.78,0.984,Logarithmic,0.0
91,Humboldt-M2,78.527,-56.83,1995.0,1995,16.097,,SUMUP 2024,Mosley-Thompson et al. (2001),Greenland,49426,78.5357,-56.8203,431,125,9.2,49.78,0.984,Logarithmic,0.0
92,Humboldt-N,78.751,-56.83,1905.0,1995,15.685,,SUMUP 2024,Mosley-Thompson et al. (2001),Greenland,50004,78.6937,-56.823,434,126,9.14,49.5,0.982,Logarithmic,0.0
93,Humboldt-S,78.315,-56.826,2058.0,1995,13.91,,SUMUP 2024,Mosley-Thompson et al. (2001),Greenland,48872,78.3777,-56.8178,428,124,9.45,50.33,0.984,Logarithmic,0.0
94,Humboldt-W,78.452,-57.958,1924.0,1995,13.213,,SUMUP 2024,Mosley-Thompson et al. (2001),Greenland,49421,78.4547,-57.9959,431,120,9.15,49.66,0.982,Logarithmic,0.0
95,NASA-U_Henderson,73.842,-49.498,2369.0,1995,14.748,80.895,SUMUP 2024,Mosley-Thompson et al. (2001),Greenland,31503,73.8717,-49.4507,332,135,8.05,44.43,0.987,Logarithmic,0.0
96,ngt37C95.2_B26,77.253,-49.217,2598.0,1995,13.63,64.752,SUMUP 2024,"Miller and Schwager (2000a,b)",Greenland,42814,77.1955,-49.2569,397,149,10.48,53.41,0.989,Logarithmic,0.0
97,ngt42C95.2_B29,76.004,-43.492,2874.0,1995,16.393,64.067,SUMUP 2024,"Miller and Schwager (2000a,b)",Greenland,38176,76.0277,-43.5003,370,172,11.04,55.04,0.989,Logarithmic,0.0
98,GITS-Core1,77.0,-61.095,,1996,13.8,,"""PKM standardized cores""",,Greenland,44929,76.9707,-61.0661,408,97,8.39,45.95,0.983,Logarithmic,0.0
99,GITS_core_1_1996,77.143,-61.095,1887.0,1996,14.808,,SUMUP 2024,Mosley-Thompson et al. (2001),Greenland,45551,77.1283,-61.1173,411,98,8.59,46.58,0.983,Logarithmic,0.0
100,GITS_core_2_1996,77.143,-61.095,1887.0,1996,14.251,83.311,SUMUP 2024,Mosley-Thompson et al. (2001),Greenland,45551,77.1283,-61.1173,411,98,8.59,46.58,0.983,Logarithmic,0.0
101,Tunu-1,78.017,-33.994,2113.0,1996,13.742,,SUMUP 2024,Mosley-Thompson et al. (2001),Greenland,45048,77.9777,-33.9168,408,216,9.58,52.08,0.987,Logarithmic,0.0
102,Tunu-N25,78.33,-33.888,2050.0,1996,13.853,,SUMUP 2024,Mosley-Thompson et al. (2001),Greenland,46277,78.2771,-33.8285,414,216,9.32,51.74,0.987,Logarithmic,0.0
103,Tunu-N_main,78.017,-33.994,2113.0,1996,13.646,58.862,SUMUP 2024,Mosley-Thompson et al. (2001),Greenland,45048,77.9777,-33.9168,408,216,9.58,52.08,0.987,Logarithmic,0.0
104,PARCA_7147_1997,71.05,-47.23,2134.0,1997,9.935,,SUMUP 2024,Mosley-Thompson et al. (2001),Greenland,22328,71.0449,-47.2387,274,138,7.32,41.07,0.983,Logarithmic,0.0
105,PARCA_7247_1997,71.926,-47.487,2277.0,1997,12.301,,SUMUP 2024,Mosley-Thompson et al. (2001),Greenland,24928,71.8917,-47.5199,291,139,8.1,43.27,0.985,Logarithmic,0.0
106,PARCA_7551_1997,75.0,-51.0,2200.0,1997,12.01,,SUMUP 2024,Mosley-Thompson et al. (2001),Greenland,35840,75.0627,-50.976,357,132,8.69,45.9,0.986,Logarithmic,0.0
107,PARCA_7653B_1997,76.0,-53.0,2200.0,1997,12.715,,SUMUP 2024,Mosley-Thompson et al. (2001),Greenland,39535,76.0232,-52.9477,378,127,8.84,47.17,0.985,Logarithmic,0.0
108,PARCA_NASAEASTA_1997,75.0,-30.0,2631.0,1997,11.906,,SUMUP 2024,Mosley-Thompson et al. (2001),Greenland,34693,74.9779,-29.9674,350,240,10.15,52.54,0.988,Logarithmic,0.0
109,PARCA_NDYE3A&B_1997,66.0,-44.501,2640.0,1997,5.756,,SUMUP 2024,Mosley-Thompson et al. (2001),Greenland,6995,65.9847,-44.4807,171,144,7.0,40.52,0.978,Logarithmic,0.0
110,PARCA_SDOMEA_1997,63.149,-44.817,2850.0,1997,9.248,,SUMUP 2024,Mosley-Thompson et al. (2001),Greenland,2406,63.1455,-44.8476,115,134,7.46,42.29,0.98,Logarithmic,0.0
111,PARCA_STUNUA_1997,69.5,-34.5,2650.0,1997,12.683,,SUMUP 2024,Mosley-Thompson et al. (2001),Greenland,16573,69.5239,-34.5,239,222,8.28,43.67,0.983,Logarithmic,0.0
112,South_Dome_1,63.0,-44.187,,1997,13.14,,"""PKM standardized cores""",,Greenland,2198,63.0313,-44.1581,112,140,6.67,37.94,0.982,Logarithmic,0.0
113,Dye 2 (Raven) Core A,66.478,-46.285,2119.0,1998,4.458,58.339,SUMUP 2024,Mosley-Thompson et al. (2001),Greenland,8455,66.4949,-46.2676,183,131,4.5,33.93,0.955,Logarithmic,0.0
114,Dye 2 (Raven) Core B,66.478,-46.285,2119.0,1998,8.068,,SUMUP 2024,Mosley-Thompson et al. (2001),Greenland,8455,66.4949,-46.2676,183,131,4.5,33.93,0.955,Logarithmic,0.0
115,PARCA_6345_1998,63.8,-45.0,2730.0,1998,11.841,,SUMUP 2024,Mosley-Thompson et al. (2001),Greenland,3352,63.7904,-45.0286,128,134,6.84,41.35,0.98,Logarithmic,0.0
117,PARCA_6642B_1998,66.5,-42.5,2380.0,1998,10.965,,SUMUP 2024,Mosley-Thompson et al. (2001),Greenland,8082,66.5169,-42.5022,180,161,6.77,40.2,0.983,Logarithmic,0.0
118,PARCA_6745_1998,67.5,-45.0,2250.0,1998,10.431,,SUMUP 2024,Mosley-Thompson et al. (2001),Greenland,10926,67.5235,-44.9517,202,144,5.88,38.44,0.973,Logarithmic,0.0
119,PARCA_6841_1998,68.0,-41.0,2640.0,1998,11.411,,SUMUP 2024,Mosley-Thompson et al. (2001),Greenland,11868,68.0126,-40.9658,209,175,8.01,44.71,0.983,Logarithmic,0.0
120,PARCA_6938_1998,69.0,-38.0,2920.0,1998,11.536,,SUMUP 2024,Mosley-Thompson et al. (2001),Greenland,14504,68.9491,-38.056,227,197,9.03,48.17,0.985,Logarithmic,0.0
121,PARCA_6943_1998,69.2,-43.0,2500.0,1998,11.607,,SUMUP 2024,Mosley-Thompson et al. (2001),Greenland,15656,69.211,-42.9953,234,162,7.57,43.06,0.983,Logarithmic,0.0
122,PARCA_6945_1998,69.0,-45.0,2150.0,1998,9.962,,SUMUP 2024,Mosley-Thompson et al. (2001),Greenland,15126,68.9809,-45.0372,231,147,6.23,39.01,0.976,Logarithmic,0.0
123,PARCA_7145_1998,71.5,-45.0,2615.0,1998,11.384,,SUMUP 2024,Mosley-Thompson et al. (2001),Greenland,23590,71.5546,-44.946,282,154,8.41,46.22,0.985,Logarithmic,0.0
124,PARCA_7249_1998,72.2,-49.4,2170.0,1998,11.455,,SUMUP 2024,Mosley-Thompson et al. (2001),Greenland,26383,72.244,-49.3812,300,129,7.07,41.32,0.985,Logarithmic,0.0
125,PARCA_7345_1998,73.0,-45.0,2815.0,1998,13.379,,SUMUP 2024,Mosley-Thompson et al. (2001),Greenland,28038,72.9624,-45.027,310,157,9.38,49.64,0.987,Logarithmic,0.0
126,GC-Net_Summit,72.58,-38.505,3254.0,1999,1.281,0.491,SUMUP 2024,GEUS snow and firn data (2023),Greenland,26449,72.5975,-38.5031,300,195,10.8,54.41,0.989,Logarithmic,0.0
127,NGRIP_1999,75.1,-42.32,2917.0,1999,17.738,,SUMUP 2024,Vallelonga et al. (2014),Greenland,34809,75.0996,-42.3593,351,176,10.77,54.52,0.989,Logarithmic,0.0
128,Basin1,71.8,-42.4419,,2003,13.25,,"""PKM standardized cores""",,Greenland,24058,71.7861,-42.4646,285,170,9.24,49.92,0.987,Logarithmic,0.0
129,Basin2,68.0,-44.8278,,2003,10.35,,"""PKM standardized cores""",,Greenland,12107,67.9824,-44.8361,211,146,6.13,39.05,0.976,Logarithmic,0.0
130,Basin4,62.0,-46.34,,2003,3.83,,"""PKM standardized cores""",,Greenland,1098,61.9913,-46.343,94,117,3.62,28.51,0.928,Logarithmic,0.0
131,Basin5,63.93,-46.3539,,2003,5.68,,"""PKM standardized cores""",,Greenland,3765,63.9637,-46.332,133,123,5.92,38.34,0.976,Logarithmic,0.0
132,Basin6,67.0,-41.7489,,2003,10.38,,"""PKM standardized cores""",,Greenland,9288,66.9923,-41.709,189,168,7.24,41.56,0.984,Logarithmic,0.0
133,Basin7,67.52,-40.4061,,2003,10.27,,"""PKM standardized cores""",,Greenland,10569,67.5238,-40.3697,199,179,7.28,41.9,0.984,Logarithmic,0.0
134,Basin8,70.0,-36.4,,2003,13.3,,"""PKM standardized cores""",,Greenland,17954,69.9461,-36.3342,247,209,9.45,50.14,0.986,Logarithmic,0.0
135,Basin9,65.01,-44.87,,2003,11.26,,"""PKM standardized cores""",,Greenland,5255,65.0058,-44.9197,152,138,6.61,40.08,0.98,Logarithmic,0.0
136,D1,64.5,-43.5,2580.0,2003,9.91,73.46,"""PKM standardized cores""",,Greenland,4425,64.5204,-43.5031,141,149,6.98,40.01,0.982,Logarithmic,0.0
137,D2,71.8,-46.2,2534.0,2003,12.01,79.58,"""PKM standardized cores""",,Greenland,24478,71.8053,-46.1769,288,147,8.27,45.83,0.986,Logarithmic,0.0
138,D3,69.8,-44.0,2433.0,2003,11.37,63.96,"""PKM standardized cores""",,Greenland,17727,69.7782,-44.0174,246,156,7.63,43.12,0.984,Logarithmic,0.0
139,D4,71.4167,-44.0333,2999.0,2003,12.5,68.46,"""PKM standardized cores""",,Greenland,22964,71.385,-44.0916,278,159,8.6,47.19,0.986,Logarithmic,0.0
